index,gw1,gw2,gw3,s1,s2,s3,sv1,sv2,svalt1,svalt2
0,0.06508,0.12895,0.04514,9.56352,201.8636,18.25577,11.92054,168.82912,1.91456,0.87448
1,0.17819,0.07866,0.14883,15.58597,62.67204,5.56119,12.66769,151.04677,1.50133,1.91203
2,0.11802,0.06258,0.05406,0.49143,201.45411,3.51318,7.43596,126.82247,1.50422,0.66346
3,0.02619,0.18858,0.10998,5.00521,58.34714,19.56193,3.64731,62.66779,1.12891,1.38618
4,0.02913,0.06413,0.04772,3.83262,187.61791,10.13403,16.79731,175.57977,0.82252,0.68791
5,0.09411,0.09625,0.07526,0.30003,129.05094,14.53143,14.32366,214.68257,1.6791,0.72682
6,0.0054,0.06947,0.03512,16.74391,2.12892,0.80049,18.72947,244.04505,0.83632,1.20223
7,0.14573,0.10356,0.04224,12.05557,251.39481,4.97674,2.2676,275.67039,1.92009,0.98701
8,0.10535,0.01232,0.19436,4.19489,296.33393,18.78094,10.69426,212.92425,0.85249,0.76222
9,0.10944,0.13652,0.18894,5.48743,149.31717,6.54247,4.64362,189.87656,0.81339,1.3888
10,0.09182,0.06003,0.17138,5.65852,189.39521,0.82285,8.82948,265.49865,0.69148,0.51913
11,0.10078,0.16418,0.10311,19.1232,251.32467,4.69823,18.92003,113.25607,1.6956,1.15535
12,0.0795,0.02452,0.02476,3.78497,140.72527,4.6382,10.43609,194.9647,1.21641,0.54428
13,0.03108,0.07351,0.02165,14.10439,223.30534,5.82783,11.16094,226.79548,0.8396,0.55535
14,0.07281,0.06884,0.00848,11.8015,24.86459,3.45389,3.27264,172.00099,0.97111,1.38696
15,0.03325,0.07191,0.18524,9.96378,67.97803,11.74748,14.60494,234.01535,0.61532,0.91788
16,0.06825,0.158,0.19831,10.45499,245.74826,18.49292,4.1321,190.75275,0.88479,1.29455
17,0.03688,0.03196,0.18904,2.29677,256.6724,8.89567,12.71693,108.00907,1.97511,1.18914
18,0.07881,0.13265,0.03573,1.44111,223.73876,12.87804,17.72488,72.78699,0.70495,1.01818
19,0.00809,0.03387,0.12531,16.38896,238.27385,14.69796,4.38728,204.07362,1.41175,1.14567
20,0.11341,0.0729,0.05131,5.44404,170.18607,11.34617,2.42173,16.14107,0.5602,1.66184
21,0.04149,0.0548,0.04318,12.46936,199.5519,14.11762,8.71198,176.21332,1.32762,1.2388
22,0.0648,0.11147,0.12916,0.50589,287.51348,12.56996,5.01589,263.04583,1.93277,0.94791
23,0.07594,0.10855,0.03431,9.34732,2.68569,5.74311,8.75055,65.29049,1.23985,1.99777
24,0.03763,0.07263,0.02802,13.81482,25.05368,19.06256,5.41808,163.11816,1.13601,1.0159
25,0.02169,0.1133,0.16511,0.11371,115.49828,3.30212,3.03226,21.41999,0.72586,1.84378
26,0.09153,0.17048,0.01464,11.8623,218.26757,10.6165,17.51013,295.36327,0.69374,0.85334
27,0.03998,0.14788,0.11513,3.51807,183.08548,17.90924,13.45122,36.33232,0.51075,1.0605
28,0.07633,0.15903,0.00972,4.03568,92.79786,9.10976,0.84261,202.38833,1.13312,0.60592
29,0.18618,0.04442,0.09022,3.20094,211.19539,17.06898,11.00491,233.48237,1.68694,0.50488
30,0.15227,0.06028,0.12299,5.53008,136.2492,10.07847,1.00237,165.42724,0.73498,1.16961
